StartDate,EndDate,Status,IPAddress,Progress,Duration,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consentform,years_experience_1,years_experience_2,course_level_1,Q1_timing_First_Click,Q1_timing_Last_Click,Q1_timing_Page_Submit,Q1_timing_Click_Count,Q1_different,Q1_similar,Q2_timing_First_Click,Q2_timing_Last_Click,Q2_timing_Page_Submit,Q2_timing_Click_Count,Q2_different,Q2_similar,Q3_timing_First_Click,Q3_timing_Last_Click,Q3_timing_Page_Submit,Q3_timing_Click_Count,Q3_different,Q3_similar,Q4_timing_First_Click,Q4_timing_Last_Click,Q4_timing_Page_Submit,Q4_timing_Click_Count,Q4_different,Q4_similar,Q5_timing_First_Click,Q5_timing_Last_Click,Q5_timing_Page_Submit,Q5_timing_Click_Count,Q5_different,Q5_similar,Q6_timing_First_Click,Q6_timing_Last_Click,Q6_timing_Page_Submit,Q6_timing_Click_Count,Q6_different,Q6_similar,Q7_timing_First_Click,Q7_timing_Last_Click,Q7_timing_Page_Submit,Q7_timing_Click_Count,Q7_different,Q7_similar,Q37_First_Click,Q37_Last_Click,Q37_Page_Submit,Q37_Click_Count,Q8_different,Q8_similar,Q9_timing_First_Click,Q9_timing_Last_Click,Q9_timing_Page_Submit,Q9_timing_Click_Count,Q9_different,Q9_similar,Q10_timing_First_Click,Q10_timing_Last_Click,Q10_timing_Page_Submit,Q10_timing_Click_Count,Q10_different,Q10_similar,Q11_timing_First_Click,Q11_timing_Last_Click,Q11_timing_Page_Submit,Q11_timing_Click_Count,Q11_different,Q11_similar,Q12_timing_First_Click,Q12_timing_Last_Click,Q12_timing_Page_Submit,Q12_timing_Click_Count,Q12_different,Q12_similar,SC0,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8
2023-04-21_10:40:19,2023-04-21_10:56:07,0,137.146.139.12,100,947,1,2023-04-21_10:56:09,R_eYjuzquGDuybABP,,,,,44.5542,-69.6179,anonymous,EN,1,2,1,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,2,,,,,1,,,,,,1,,,,,,2,,6,3,3,1,1,0,1,2,1
2023-04-21_11:33:09,2023-04-21_11:45:03,0,137.146.127.181,100,713,1,2023-04-21_11:45:03,R_1rctUZIH1e8qIWd,,,,,44.5542,-69.6179,anonymous,EN,1,3,3,3,,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,4,,,,,1,,,,,,2,,,,,,,1,,,,,,,,,,,2,,4,3,1,0,0,2,0,1,1
2023-04-21_12:11:42,2023-04-21_12:27:07,0,137.146.136.78,100,925,1,2023-04-21_12:27:08,R_24ra8HrwTNua7hw,,,,,44.5542,-69.6179,anonymous,EN,1,0,0,5,,,,,,,,,,,,1,,,,,4,,,,,,,,,,,,,4,,,,,,1,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,1,,4,1,3,0,1,0,1,1,1
2023-04-21_12:08:14,2023-04-21_12:35:31,0,137.146.133.53,100,1637,1,2023-04-21_12:35:32,R_2EhnN1RDmpfNyAP,,,,,44.5542,-69.6179,anonymous,EN,1,1,0.5,1,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,3,,,,,,1,,,,,,,2,,,,,,1,,,,,1,,,,,,2,,7,5,2,1,0,3,0,1,2
2023-04-21_12:03:13,2023-04-21_12:57:31,0,137.146.140.31,100,3258,1,2023-04-21_12:57:33,R_1d0SqeKEZ7SjJuU,,,,,44.5542,-69.6179,anonymous,EN,1,2,2,3,,,,,4,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,1,6,2,4,2,0,0,2,0,2
2023-04-21_12:15:16,2023-04-21_14:24:01,0,137.146.133.143,100,7724,1,2023-04-21_14:24:02,R_D6PdD600aSWZoI1,,,,,42.6191,-70.8589,anonymous,EN,1,0,0,5,,,,,,2,,,,,3,,,,,,,1,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,4,,1,0,1,0,0,0,0,0,1
2023-04-21_11:03:12,2023-04-21_16:30:09,0,137.146.135.85,100,19617,1,2023-04-21_16:30:11,R_323Dc7EsOkuZv5O,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,1,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,4,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,1,,,,,,,,4,2,2,0,1,0,0,2,1
2023-04-21_15:22:40,2023-04-21_16:32:22,0,66.66.230.166,100,4181,1,2023-04-21_16:32:23,R_svv8XD6eSsmOQVj,,,,,44.3233,-69.7687,anonymous,EN,1,40,15,5,,,,,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,5,3,2,2,0,1,1,0,1
2023-04-21_20:40:55,2023-04-21_20:43:17,0,174.242.70.100,100,141,1,2023-04-21_20:43:17,R_28BeywDIVglLKYx,,,,,42.3498,-71.0765,anonymous,EN,1,0,0,5,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,2,,,,,,,4,3,1,2,1,0,0,1,0,1
2023-04-23_08:16:07,2023-04-23_08:31:16,0,216.195.188.224,100,909,1,2023-04-23_08:31:17,R_sSyMlISU8KGjDzz,,,,,43.7996,-70.1779,anonymous,EN,1,1.5,1.5,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,2,4,1,3,1,0,0,2,0,1
2023-04-23_13:25:41,2023-04-23_14:18:06,0,137.146.157.118,100,3145,1,2023-04-23_14:18:07,R_2bUyxxxYhPJizxq,,,,,44.5542,-69.6179,anonymous,EN,1,2.5,1,1,,,,,,4,,,,,1,,,,,,4,,,,,,,2,,,,,,,,,,,1,,,,,,3,,,,,,,4,,,,,,3,,,,,,4,,,,,2,,,,,,,2,5,3,2,1,2,2,0,0,0
2023-04-23_14:05:44,2023-04-23_14:21:40,0,137.146.157.118,100,955,1,2023-04-23_14:21:40,R_3g7685t7e87GPX1,,,,,44.5542,-69.6179,anonymous,EN,1,8,3,4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,5,2,3,0,0,1,2,1,1
2023-04-23_14:44:01,2023-04-23_14:45:05,1,,100,63,1,2023-04-23_14:45:06,R_3kbomm9DNbFFyJW,,,,,44.5542,-69.6179,preview,EN,1,3,2,1,1.048,1.048,2.225,1,,3,2.569,2.569,4.664,1,3,,1.225,1.225,2.398,1,,2,1.75,1.75,3.802,1,,2,1.545,1.545,2.478,1,,3,5.925,5.925,7.258,1,4,,1.894,1.894,2.841,1,1,,0.872,0.872,1.649,1,,4,1.811,1.811,2.72,1,1,,1.657,1.657,2.6,1,4,,1.69,1.69,2.764,1,,1,1.183,1.183,2.2,1,,2,3,0,3,0,2,0,0,0,1
2023-04-23_14:51:57,2023-04-23_15:23:12,0,73.253.123.84,100,1875,1,2023-04-23_15:23:13,R_2cvLutA5QfDRgoa,,,,,42.7826,-71.1029,anonymous,EN,1,7,7,5,,,,,,4,,,,,,,,,,,,4,,,,,2,,,,,,,2,,,,,1,,,,,,3,,,,,,1,,,,,,,2,,,,,1,,,,,,1,,,,,,,1,10,6,4,1,1,3,1,2,2
2023-04-23_20:22:01,2023-04-23_20:42:28,0,137.146.123.126,100,1226,1,2023-04-23_20:42:29,R_1P1Ns55uN84IlMj,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,1,,,,,,,,,,,1,,,,,,2,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,1,,,,,1,,,,,,2,,8,6,2,3,0,1,1,2,1
2023-04-23_20:42:59,2023-04-23_21:07:04,0,174.242.67.221,100,1444,1,2023-04-23_21:07:05,R_1FM67wiwx8stTRP,,,,,42.9948,-71.458,anonymous,EN,1,3,2,2,,,,,,1,,,,,,1,,,,,,,,,,,4,,,,,,,2,,,,,,2,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,2,,4,2,2,0,1,1,1,1,0
2023-04-23_21:32:11,2023-04-23_21:45:36,0,137.146.126.190,100,804,1,2023-04-23_21:45:37,R_6KUHKsByMwKj2G5,,,,,44.5542,-69.6179,anonymous,EN,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,3,1,2,0,0,1,2,0,0
2023-04-23_22:23:23,2023-04-23_23:24:47,0,137.146.124.230,100,3684,1,2023-04-23_23:24:47,R_23ZSoOqAY54fhnw,,,,,44.5542,-69.6179,anonymous,EN,1,1,1,3,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,1,,,,,1,,,,,,,1,,,,,,1,,,,,,4,,,,,,1,,,,,,2,,,,,2,,5,2,3,1,1,1,1,0,1
2023-04-26_00:21:02,2023-04-26_01:03:52,0,137.146.122.160,100,2569,1,2023-04-26_01:03:53,R_2uUk9KDkBsooqoA,,,,,42.4947,-70.8499,anonymous,EN,1,5,4,3,101.282,111.923,112.574,2,4,,100.856,169.436,175.265,2,1,,75.502,75.502,77.656,1,2,,101.558,389.377,390.652,11,,2,1.369,438.373,439.156,10,2,,100.867,302.909,304.448,6,,1,49.774,50.541,51.408,2,3,,102.053,150.462,151.166,2,1,,100.364,394.404,400.075,10,,2,82.089,82.089,86.205,1,,1,100.818,153.434,157.663,2,1,,100.915,125.352,125.823,3,2,,11,7,4,3,1,3,1,1,2
2023-04-21_10:58:21,2023-04-21_10:58:45,0,137.146.188.253,2,23,0,2023-04-28_10:58:48,R_1zEPM20r98zwAFj,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-21_11:52:44,2023-04-21_11:53:08,0,137.146.142.17,2,23,0,2023-04-28_12:02:14,R_Om6E1stqrie3c4h,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-21_12:23:37,2023-04-21_12:24:20,0,137.146.132.179,10,43,0,2023-04-28_12:53:40,R_vkxqlHzWb5RFchb,,,,,,,anonymous,EN,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-21_10:43:13,2023-04-21_13:28:58,0,137.146.132.74,17,9945,0,2023-04-28_14:03:59,R_2SjDoZXP7aQRPMH,,,,,,,anonymous,EN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0
2023-04-21_14:11:23,2023-04-21_14:26:19,0,137.146.98.225,10,895,0,2023-04-28_14:49:24,R_Rt59bg2gAf6aDYJ,,,,,,,anonymous,EN,1,10,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-21_15:39:23,2023-04-21_15:40:13,0,137.146.135.149,46,49,0,2023-04-28_15:40:14,R_1LO77W6639RZhw2,,,,,,,anonymous,EN,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,0
2023-04-21_16:08:20,2023-04-21_16:12:08,0,137.146.139.156,17,228,0,2023-04-28_16:12:16,R_3IQPeyvRCoA9r6t,,,,,,,anonymous,EN,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,0,0,0,0,0,0,0,0
2023-04-21_17:09:58,2023-04-21_17:11:29,0,137.146.141.34,17,90,0,2023-04-28_17:14:49,R_1Oq6sNNhQUOFs9E,,,,,,,anonymous,EN,1,3.5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-21_18:41:29,2023-04-21_18:43:00,0,137.146.120.13,10,90,0,2023-04-28_18:43:02,R_1eyLw8stx4yY2TI,,,,,,,anonymous,EN,1,1,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-28_18:58:58,2023-04-28_20:26:35,0,137.146.128.109,100,5257,1,2023-04-28_20:26:37,R_1d7hcLb7u4xGIkt,,,,,44.5542,-69.6179,anonymous,EN,1,6,6,4,56.411,56.411,99.103,1,4,,136.628,136.628,149.409,1,,1,128.999,128.999,146.747,1,,2,369.407,371.651,373.171,3,,2,314.803,314.803,539.935,1,2,,58.928,58.928,105.71,1,1,,54.274,54.274,65.546,1,,3,47.475,47.475,53.23,1,,1,340.64,375.718,398.842,2,2,,77.12,77.12,103.427,1,1,,304.265,304.265,384.601,1,1,,9.123,152.711,169.483,2,2,,11,6,5,1,3,2,2,3,0
2023-04-22_12:35:05,2023-04-22_12:37:35,0,2.136.98.244,24,149,0,2023-04-29_12:37:42,R_sXMS13MNdsQxDe9,,,,,,,anonymous,EN,1,3,3,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-23_16:30:49,2023-04-23_16:31:45,0,137.146.132.254,17,56,0,2023-04-30_16:31:48,R_21EScIS8Bj0fL1n,,,,,,,anonymous,EN,1,1.5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-23_20:05:07,2023-04-23_20:05:46,0,137.146.131.16,10,39,0,2023-04-30_20:05:47,R_1iqun3PAVpddnEf,,,,,,,anonymous,EN,1,1,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-23_20:02:03,2023-04-23_20:07:10,0,137.146.123.6,24,307,0,2023-04-30_20:07:14,R_3HYPFwgPc83XWwP,,,,,,,anonymous,EN,1,3,2,5,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-23_20:06:52,2023-04-23_20:08:10,0,172.101.55.140,24,77,0,2023-04-30_20:08:10,R_27wfjCSYtgT245n,,,,,,,anonymous,EN,1,12,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-23_20:23:05,2023-04-23_20:24:29,0,137.146.134.185,17,83,0,2023-04-30_20:24:31,R_2fHghSyZhoV7X6a,,,,,,,anonymous,EN,1,4,4,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0
2023-04-23_20:32:20,2023-04-23_20:34:18,0,137.146.132.3,17,118,0,2023-04-30_20:34:26,R_2Bnip3TK9VPchKW,,,,,,,anonymous,EN,1,2,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0
2023-04-23_20:32:45,2023-04-23_20:34:50,0,137.146.132.234,17,125,0,2023-04-30_20:34:53,R_a3QdVl8v9vmv7O1,,,,,,,anonymous,EN,1,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,0,0,0,0,0,1,0
2023-04-23_21:52:31,2023-04-23_21:55:24,0,137.146.133.72,32,173,0,2023-04-30_21:55:32,R_2z5SIxrhubdLDqS,,,,,,,anonymous,EN,1,0.5,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1
2023-04-24_06:02:05,2023-04-24_06:02:18,0,66.66.230.166,2,12,0,2023-05-01_06:02:20,R_3kLYdEsIVyZYOOO,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-24_10:15:32,2023-04-24_10:18:49,0,137.146.127.61,10,196,0,2023-05-01_10:18:51,R_1DI3T1Nc9KBDk5G,,,,,,,anonymous,EN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
2023-04-24_17:12:03,2023-04-24_17:13:13,0,137.146.126.79,10,70,0,2023-05-01_17:13:17,R_1C48TWVZQr35T4P,,,,,,,anonymous,EN,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
